"","season","title","original_air_date","episode_num_in_season","episode_num_overall","directed_by","written_by","prod_code","us_viewers","episode_num","imdb_rating","total_votes","desc"
"44",2,"Intro to Political Science",2011-02-24,17,42,"Jay Chandrasekhar","Adam Countee",216,3790000,17,8.2,3200,"Anticipating a visit from the vice president, dean Pelton holds an election for student body president. An idealistic Annie decides to run, but Jeff decides to run against her to spite her and show how stupid politics can be."
"45",2,"Messianic Myths and Ancient Peoples",2010-10-21,5,30,"Tristram Shapeero","Andrew Guest",205,4460000,5,7.8,3530,"Shirley asks Abed to make a film about Jesus, but he quickly angers Shirley by turning it into a self-indulgent mess. Meanwhile, Pierce begins blowing off the study group to hang out with the ""hipsters."""
"46",2,"Mixology Certification",2010-12-02,10,35,"Jay Chandrasekhar","Andy Bobrow",209,4550000,10,8.4,3522,"The study group takes Troy out to a bar to celebrate his 21st birthday. While there, Annie assumes a new identity, Abed is propositioned by a man, one of Shirley's secrets is discovered, and Britta and Jeff fight over the ""cool"" bars."
"47",2,"Paradigms of Human Memory",2011-04-21,21,46,"Tristram Shapeero","Chris McKenna",220,3170000,21,9.1,4198,"While working on the final diorama for their anthropology class, Chang discovers the cache of items stolen by Troy's monkey."
"48",2,"The Psychology of Letting Go",2010-10-07,3,28,"Anthony Russo","Hilary Winston",202,4200000,3,8,3155,"Pierce's religion convinces him that the spirit of his dead mother is captured in a cheap lava lamp, Jeff has a crisis of faith when he learns he has high cholesterol, and Britta and Annie try to raise money for the oil spill."
"49",3,"Advanced Gay",2011-11-03,6,55,"Joe Russo","Matt Murray",306,3840000,6,7.6,3041,"Pierce gets a visit from his bigoted father after his wipes become a hit in the gay community, and the dean of the School of Refrigeration recruits Troy to become his student."
"50",3,"Basic Lupine Urology",2012-04-26,17,66,"Rob Schrab","Megan Ganz",317,3210000,17,9.5,5033,"When the yam the study group was growing for biology class is killed, Troy and Abed are on the case."
"51",3,"Biology 101",2011-09-22,1,50,"Anthony Russo","Garrett Donovan & Neil Goldman",301,3930000,1,8,3193,"Jeff's plan to keep Pierce out of the Study Group backfires when he gets kicked out instead, Abed copes with bad news about Cougar Town, and Dean Pelton's authority is challenged by another Greendale dean."
"52",3,"Competitive Ecology",2011-10-06,3,52,"Anthony Russo","Maggie Bandur",304,3350000,3,8,3129,"Chaos ensues when the Study Group tries to divide itself up into biology lab partners, and Chang appoints himself security ""detective,"" and tries to solve a mystery that is only in his head."
"53",3,"Contemporary Impressionists",2012-03-22,12,61,"Kyle Newacheck","Alex Cooley",310,3870000,12,8,3014,"The members of the Study Group take jobs as celebrity impersonators to pay off Abed's debt to a celebrity impersonator business, but can Jeff be Ryan Seacrest without his fragile ego spiral out of control?"
"54",3,"Course Listing Unavailable",2012-05-03,18,67,"Tristram Shapeero","Tim Saccardo",318,3200000,18,8.2,2927,"A fellow student has died and Biology class has been canceled, meaning everyone has to retake it in summer school. When the memorial service turns into a riot, Chang is granted special authoritative powers."
"55",3,"Curriculum Unavailable",2012-05-10,19,68,"Adam Davidson","Adam Countee",319,2990000,19,9.2,3915,"When Abed claims the Dean has been replaced by a doppelgänger he is forced to take psychiatric treatment. Naturally, the rest of the study group joins him at his session with Dr. Heidi."
"56",3,"Digital Estate Planning",2012-05-17,20,69,"Adam Davidson","Matt Warburton",322,2970000,20,9.5,5245,"The study group must help Pierce win a video game so that he can claim his inheritance from his father, but somebody may be out to ensure that he loses."
"57",3,"Digital Exploration of Interior Design",2012-03-29,13,62,"Dan Eckman","Chris McKenna",313,3480000,13,8.2,3045,"When Britta falls for the human embodiment of the Subway sandwich chain, Shirley and Pierce hope to use the situation to their advantage."
"58",3,"Documentary Filmmaking: Redux",2011-11-17,8,57,"Joe Russo","Megan Ganz",308,3620000,8,9.1,4084,"The dean is given the task of making a Greendale commercial, but the shoot soon goes over budget and spirals out of control - with Abed documenting the experience."
"59",3,"Foosball and Nocturnal Vigilantism",2011-12-01,9,58,"Anthony Russo","Chris Kula",309,3740000,9,8.4,3243,"Shirley teaches Jeff foosball so that he can beat a team of cocky, obnoxious Germans, while Annie creates an overly elaborate ruse so that she doesn't have to tell Abed that she broke his special edition The Dark Knight DVD."
"60",3,"Geography of Global Conflict",2011-09-29,2,51,"Joe Russo","Andy Bobrow",302,3980000,2,8.1,3145,"When another over-achieving student steals Annie's idea for a Model U.N. club, the Study Group comes to her rescue. Meanwhile, new security cop Chang tries to stop Britta's last-ditch efforts to create a campus disturbance."
"61",3,"Horror Fiction in Seven Spooky Steps",2011-10-27,5,54,"Tristram Shapeero","Dan Harmon",305,3420000,5,8.8,3687,"During her pre-Halloween party, Britta gets everyone to tell a spooky story so that she can find out which member of the study group scored out as a psychopath on their psychology profiles."
"62",3,"Introduction to Finality",2012-05-17,22,71,"Tristram Shapeero","Steve Basilone & Annie Mebane",321,2480000,22,8.8,3260,"Jeff faces an old nemesis as Shirley and Pierce square off in Greendale court, Abed succumbs to his evil alter ego, and Troy decides to meet his destiny at air conditioning school."
"63",3,"Origins of Vampire Mythology",2012-04-12,15,64,"Steven Tsuchida","Dan Harmon",315,3090000,15,8.1,3000,"While Britta struggles to stay away from her old carny boyfriend, Jeff becomes obsessed with their relationship. Meanwhile, the dean stops by Troy and Abed's to recruit Troy for the dean of the school of refrigeration."
"64",3,"Pillows and Blankets",2012-04-05,14,63,"Tristram Shapeero","Andy Bobrow",314,3e+06,14,9.3,5040,"The students of Greendale are drawn into an epic pillow fight as Troy and Abed start a war that threatens to destroy their unique friendship."
"65",3,"Regional Holiday Music",2011-12-08,10,59,"Tristram Shapeero","Steve Basilone & Annie Mebane",311,3600000,10,8.6,3806,"A holiday-themed parody of ""Glee"" in which Abed tries to persuade each member of the Study Group to join the glee club so that they can qualify for regionals."
"66",3,"Remedial Chaos Theory",2011-10-13,4,53,"Jeff Melman","Chris McKenna",303,3780000,4,9.8,10584,"At Abed and Troy's housewarming party, Jeff decides to let the decision on who gets the pizza rest on the roll of the dice, leaving Abed to contemplate six alternate realities."
